#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_02656 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=599,-,-,Y (0.738),Non-effector
FOXG_10940 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=455,-,-,Y (0.774),Non-effector
FOXG_07684 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=546,-,-,Y (0.809),Non-effector
FOXG_02493 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=236,-,Y (0.705),-,Apoplastic effector
FOXG_05772 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=600,-,-,Y (0.906),Non-effector
FOXG_09885 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=833,-,-,Y (0.727),Non-effector
FOXG_14711 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=504,-,-,Y (0.974),Non-effector
FOXG_09205 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=276,Y (0.828),-,-,Cytoplasmic effector
FOXG_02746 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=100,-,Y (0.922),-,Apoplastic effector
FOXG_04374 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=548,-,-,Y (0.924),Non-effector
FOXG_14633 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=372,-,-,Y (0.657),Non-effector
FOXG_16948 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=602,-,-,Y (0.545),Non-effector
FOXG_12876 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1340,-,-,Y (0.988),Non-effector
FOXG_15101 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=667,-,-,Y (0.934),Non-effector
FOXG_16798 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=437,-,-,Y (0.782),Non-effector
FOXG_11030 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase | protein | length=621,-,-,Y (0.773),Non-effector
FOXG_16468 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=543,-,-,Y (0.51),Non-effector
FOXG_16185 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=310,-,-,Y (0.65),Non-effector
FOXG_18383 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=6626,-,-,Y (0.74),Non-effector
FOXG_07406 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=382,-,-,Y (0.603),Non-effector
FOXG_04749 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=413,-,-,Y (0.622),Non-effector
FOXG_22266 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=594,-,-,Y (0.989),Non-effector
FOXG_09816 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=148,-,Y (0.923),-,Apoplastic effector
FOXG_21878 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=70,Y (0.735),Y (0.888),-,Apoplastic/cytoplasmic effector
FOXG_16627 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=482,-,-,Y (0.932),Non-effector
FOXG_05801 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=551,-,-,Y (0.949),Non-effector
FOXG_15396 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=433,-,-,Y (0.649),Non-effector
FOXG_11625 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=290,-,-,Y (0.555),Non-effector
FOXG_05624 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=491,-,-,Y (0.927),Non-effector
FOXG_15218 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=607,-,-,Y (0.858),Non-effector
FOXG_13339 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=477,-,-,Y (0.807),Non-effector
FOXG_07092 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=157,Y (0.677),Y (0.592),-,Cytoplasmic/apoplastic effector
FOXG_01231 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=126,Y (0.975),Y (0.834),-,Cytoplasmic/apoplastic effector
FOXG_17180 | Fusarium oxysporum f. sp. lycopersici 4287 | catalase-peroxidase 2 | protein | length=590,-,-,Y (0.646),Non-effector
FOXG_12485 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=474,Y (0.595),-,-,Cytoplasmic effector
FOXG_17017 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=206,-,Y (0.837),-,Apoplastic effector
FOXG_09107 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=100,Y (0.558),Y (0.935),-,Apoplastic/cytoplasmic effector
FOXG_10041 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=410,-,-,Y (0.505),Non-effector
FOXG_08928 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=140,Y (0.657),-,-,Cytoplasmic effector
FOXG_02756 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=321,-,Y (0.62),-,Apoplastic effector
FOXG_12276 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=172,Y (0.798),-,-,Cytoplasmic effector
FOXG_08829 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=181,Y (0.764),Y (0.872),-,Apoplastic/cytoplasmic effector
FOXG_14785 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=643,-,-,Y (0.833),Non-effector
FOXG_01292 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=351,-,-,Y (0.545),Non-effector
FOXG_06359 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=403,-,-,Y (0.592),Non-effector
FOXG_17130 | Fusarium oxysporum f. sp. lycopersici 4287 | catalase-peroxidase 2 | protein | length=781,-,-,Y (0.893),Non-effector
FOXG_14545 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=197,-,Y (0.82),-,Apoplastic effector
FOXG_12897 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=340,-,-,Y (0.506),Non-effector
FOXG_17483 | Fusarium oxysporum f. sp. lycopersici 4287 | N1-acetylpolyamine oxidase | protein | length=527,-,-,Y (0.731),Non-effector
FOXG_04533 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=312,-,-,Y (0.719),Non-effector
FOXG_12166 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=538,-,-,Y (0.796),Non-effector
FOXG_12170 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=323,-,Y (0.557),-,Apoplastic effector
"FOXG_15742 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,4-beta-xylanase 1 | protein | length=231",-,Y (0.976),-,Apoplastic effector
FOXG_00147 | Fusarium oxysporum f. sp. lycopersici 4287 | triacylglycerol lipase | protein | length=216,-,-,Y (0.549),Non-effector
"FOXG_05013 | Fusarium oxysporum f. sp. lycopersici 4287 | mannan endo-1,6-alpha-mannosidase | protein | length=384",-,-,Y (0.771),Non-effector
FOXG_15449 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=417,-,-,Y (0.786),Non-effector
FOXG_16072 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=391,-,-,Y (0.939),Non-effector
FOXG_15774 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=481,-,-,Y (0.645),Non-effector
FOXG_21569 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=95,-,-,Y (0.626),Non-effector
FOXG_18408 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=204,-,-,Y (0.503),Non-effector
FOXG_13480 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=149,Y (0.873),-,-,Cytoplasmic effector
FOXG_12159 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=199,-,-,Y (0.587),Non-effector
FOXG_00405 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=540,-,-,Y (0.539),Non-effector
FOXG_19861 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=211,-,-,Y (0.691),Non-effector
FOXG_07829 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=602,-,-,Y (0.671),Non-effector
FOXG_14258 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=609,-,-,Y (0.856),Non-effector
FOXG_08316 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=215,-,-,Y (0.623),Non-effector
FOXG_05042 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=846,-,-,Y (0.882),Non-effector
FOXG_05239 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=756,-,-,Y (0.985),Non-effector
FOXG_14550 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase | protein | length=778,-,-,Y (0.962),Non-effector
FOXG_17127 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=190,Y (0.73),Y (0.6),-,Cytoplasmic/apoplastic effector
FOXG_15715 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=659,-,-,Y (0.871),Non-effector
FOXG_16537 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=182,-,-,Y (0.589),Non-effector
FOXG_10810 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=184,Y (0.561),-,-,Cytoplasmic effector
FOXG_10424 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=595,-,-,Y (0.821),Non-effector
FOXG_04463 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=511,-,-,Y (0.779),Non-effector
FOXG_10974 | Fusarium oxysporum f. sp. lycopersici 4287 | oxidoreductase | protein | length=323,-,-,Y (0.749),Non-effector
FOXG_09995 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=552,-,-,Y (0.861),Non-effector
FOXG_02739 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=258,-,-,Y (0.902),Non-effector
FOXG_10672 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=198,Y (0.54),Y (0.738),-,Apoplastic/cytoplasmic effector
FOXG_02802 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=102,Y (0.852),Y (0.754),-,Cytoplasmic/apoplastic effector
FOXG_06096 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=149,Y (0.781),-,-,Cytoplasmic effector
FOXG_22357 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=78,-,Y (0.858),-,Apoplastic effector
FOXG_19187 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=5517,-,-,Y (0.763),Non-effector
FOXG_12034 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=476,-,-,Y (0.733),Non-effector
FOXG_04997 | Fusarium oxysporum f. sp. lycopersici 4287 | PiT family inorganic phosphate transporter | protein | length=575,-,-,Y (0.985),Non-effector
FOXG_09249 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=330,-,-,Y (0.56),Non-effector
FOXG_07965 | Fusarium oxysporum f. sp. lycopersici 4287 | mannosyl-oligosaccharide glucosidase | protein | length=813,-,-,Y (0.832),Non-effector
FOXG_15290 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=690,-,-,Y (0.927),Non-effector
FOXG_11632 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=585,-,-,Y (0.753),Non-effector
FOXG_00251 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=330,-,-,Y (0.95),Non-effector
FOXG_12428 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=240,-,Y (0.57),-,Apoplastic effector
FOXG_02337 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=450,-,-,Y (0.763),Non-effector
FOXG_04522 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=98,-,Y (0.772),-,Apoplastic effector
FOXG_13531 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=344,-,-,Y (0.742),Non-effector
FOXG_18585 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=713,-,-,Y (0.818),Non-effector
FOXG_10108 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=152,-,Y (0.729),-,Apoplastic effector
FOXG_07821 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=261,-,-,Y (0.772),Non-effector
FOXG_22079 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=372,-,-,Y (0.649),Non-effector
FOXG_09983 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=904,-,-,Y (0.865),Non-effector
FOXG_22648 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1031,-,-,Y (0.86),Non-effector
FOXG_00564 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=197,-,-,Y (0.619),Non-effector
FOXG_04007 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=336,-,Y (0.505),-,Apoplastic effector
FOXG_20612 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=93,Y (0.872),Y (0.716),-,Cytoplasmic/apoplastic effector
FOXG_13070 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=632,-,-,Y (0.931),Non-effector
FOXG_02472 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=619,-,-,Y (0.865),Non-effector
FOXG_10708 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=328,-,-,Y (0.73),Non-effector
FOXG_13303 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=466,-,-,Y (0.795),Non-effector
FOXG_08899 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=148,Y (0.865),-,-,Cytoplasmic effector
FOXG_07367 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=114,Y (0.734),Y (0.774),-,Apoplastic/cytoplasmic effector
FOXG_15602 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.927),Non-effector
FOXG_13658 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=360,Y (0.533),-,-,Cytoplasmic effector
FOXG_17298 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=850,-,-,Y (0.925),Non-effector
FOXG_10046 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=686,-,-,Y (0.698),Non-effector
FOXG_02646 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=558,-,-,Y (0.94),Non-effector
FOXG_07990 | Fusarium oxysporum f. sp. lycopersici 4287 | alcohol dehydrogenase | protein | length=341,Y (0.852),-,-,Cytoplasmic effector
FOXG_15259 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=490,-,-,Y (0.71),Non-effector
FOXG_12292 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=267,Y (0.791),-,-,Cytoplasmic effector
FOXG_04834 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=675,-,-,Y (0.797),Non-effector
FOXG_09558 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=240,Y (0.733),-,-,Cytoplasmic effector
FOXG_10187 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=62,Y (0.665),-,-,Cytoplasmic effector
FOXG_04477 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=373,-,-,Y (0.932),Non-effector
FOXG_11736 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=419,-,-,Y (0.782),Non-effector
FOXG_09605 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=140,Y (0.674),Y (0.958),-,Apoplastic/cytoplasmic effector
FOXG_15778 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=684,-,-,Y (0.644),Non-effector
FOXG_10490 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=348,-,Y (0.504),-,Apoplastic effector
FOXG_14780 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=408,-,-,Y (0.682),Non-effector
FOXG_05232 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=429,-,Y (0.505),-,Apoplastic effector
FOXG_21996 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=580,-,-,Y (0.953),Non-effector
FOXG_03786 | Fusarium oxysporum f. sp. lycopersici 4287 | CTP synthase | protein | length=580,-,-,Y (0.76),Non-effector
FOXG_09730 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=128,-,-,Y (0.576),Non-effector
FOXG_17535 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=637,-,-,Y (0.704),Non-effector
FOXG_13544 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=375,-,-,Y (0.841),Non-effector
FOXG_08907 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=368,-,-,Y (0.739),Non-effector
FOXG_17405 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=361,-,-,Y (0.552),Non-effector
FOXG_14109 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=250,-,Y (0.681),-,Apoplastic effector
FOXG_22063 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=621,-,-,Y (0.968),Non-effector
FOXG_04863 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=300,-,-,Y (0.738),Non-effector
